iter	Passed	Remaining
0	135	13383
1	137	6754
2	141	4564
3	142	3422
4	143	2732
5	145	2272
6	146	1952
7	148	1706
8	149	1516
9	151	1360
10	152	1235
11	154	1135
12	156	1048
13	158	971
14	159	903
15	161	845
16	162	793
17	163	746
18	165	706
19	166	667
20	168	633
21	170	604
22	171	575
23	173	550
24	175	525
25	176	501
26	177	480
27	179	461
28	181	443
29	182	425
30	184	410
31	186	395
32	188	382
33	189	368
34	191	355
35	192	343
36	194	330
37	195	319
38	197	308
39	198	298
40	200	288
41	200	277
42	202	267
43	203	259
44	205	250
45	206	242
46	207	234
47	209	226
48	210	219
49	214	214
50	215	207
51	217	200
52	218	193
53	219	187
54	221	180
55	223	175
56	224	169
57	227	164
58	229	159
59	230	153
60	231	148
61	233	142
62	234	137
63	236	132
64	237	127
65	238	123
66	241	118
67	243	114
68	245	110
69	246	105
70	247	101
71	248	96
72	250	92
73	251	88
74	253	84
75	255	80
76	257	76
77	258	72
78	259	69
79	261	65
80	262	61
81	263	57
82	265	54
83	266	50
84	268	47
85	270	43
86	272	40
87	273	37
88	274	33
89	276	30
90	277	27
91	278	24
92	280	21
93	282	18
94	283	14
95	285	11
96	286	8
97	288	5
98	290	2
99	291	0
