iter	Passed	Remaining
0	1	1729
1	3	1542
2	4	1498
3	5	1489
4	7	1540
5	10	1693
6	11	1665
7	13	1635
8	14	1601
9	16	1594
10	17	1571
11	18	1551
12	20	1529
13	21	1518
14	25	1664
15	27	1688
16	29	1686
17	30	1676
18	32	1669
19	33	1653
20	35	1648
21	36	1634
22	39	1672
23	40	1662
24	42	1654
25	43	1642
26	45	1623
27	46	1608
28	47	1596
29	49	1586
30	50	1580
31	53	1605
32	54	1597
33	55	1588
34	57	1583
35	58	1577
36	60	1569
37	61	1561
38	62	1551
39	67	1626
40	69	1621
41	70	1614
42	72	1606
43	73	1598
44	74	1589
45	76	1581
46	78	1592
47	80	1600
48	82	1597
49	83	1592
50	85	1585
51	86	1578
52	88	1573
53	89	1565
54	90	1558
55	92	1556
56	95	1579
57	97	1576
58	99	1592
59	101	1591
60	103	1594
61	106	1613
62	111	1654
63	114	1677
64	116	1671
65	117	1663
66	118	1656
67	120	1654
68	122	1648
69	123	1646
70	126	1653
71	127	1647
72	129	1642
73	130	1637
74	132	1631
75	134	1633
76	135	1627
77	137	1625
78	139	1624
79	141	1625
80	142	1618
81	143	1612
82	144	1598
83	146	1592
84	147	1587
85	156	1667
86	162	1703
87	166	1727
88	172	1769
89	174	1765
90	176	1759
91	177	1752
92	178	1744
93	180	1739
94	181	1733
95	188	1771
96	190	1771
97	192	1769
98	193	1764
99	195	1757
100	196	1750
101	198	1746
102	200	1744
103	201	1738
104	206	1758
105	207	1752
106	209	1746
107	214	1772
108	216	1769
109	218	1771
110	220	1767
111	223	1775
112	230	1813
113	233	1813
114	235	1812
115	237	1808
116	238	1800
117	240	1794
118	241	1790
119	247	1814
120	249	1809
121	250	1800
122	251	1794
123	253	1790
124	254	1784
125	256	1781
126	258	1775
127	259	1770
128	261	1764
129	262	1758
130	264	1756
131	269	1770
132	270	1765
133	272	1759
134	273	1753
135	274	1746
136	276	1741
137	277	1735
138	279	1728
139	286	1759
140	288	1760
141	290	1753
142	291	1748
143	293	1744
144	295	1740
145	296	1736
146	300	1746
147	302	1742
148	305	1742
149	306	1737
150	308	1732
151	309	1727
152	311	1721
153	322	1772
154	325	1776
155	327	1772
156	330	1776
157	332	1772
158	334	1769
159	336	1766
160	338	1761
161	339	1756
162	341	1751
163	342	1746
164	344	1744
165	346	1741
166	347	1735
167	349	1733
168	351	1728
169	352	1723
170	354	1717
171	355	1712
172	357	1707
173	360	1709
174	361	1704
175	363	1702
176	364	1696
177	366	1691
178	367	1687
179	369	1682
180	370	1678
181	372	1673
182	374	1669
183	376	1669
184	377	1664
185	379	1659
186	380	1654
187	382	1650
188	383	1645
189	384	1640
190	386	1635
191	388	1633
192	391	1636
193	392	1631
194	394	1627
195	395	1623
196	397	1619
197	398	1616
198	400	1611
199	403	1612
200	408	1622
201	410	1622
202	412	1617
203	413	1613
204	415	1611
205	417	1610
206	419	1607
207	421	1603
208	422	1599
209	423	1594
210	424	1589
211	426	1584
212	427	1581
213	429	1577
214	431	1575
215	433	1574
216	435	1571
217	436	1566
